WO#,Description,work-type,Service,Log Details,FIR,Complexity-Weight
31852640,Light fused,SBD,Electrical,We have replaced here 2nos 18w840 4pin CFL lights.  Now here all lights are working good condition.  Past lux level is 279.,We checked and found this location 2nos 18w840 4pin cfl lights fused out of 10nos lights. Need to replace. Height less than 6meters. Pre lux level is 222.no any service impacted.,1
31852623,Light fused,SBD,Electrical,We have replaced here 2nos 18w840 4pin CFL lights. Now here all lights are working good condition.  Past lux level is 257,"We checked and found this location this is not 2nd floor this us in 1st floor toilet Door#08-UC4-1004, here 2nos 18w840 4pin cfl lights fused out of 10nos lights. Need to replace. Height less than 6meters. Pre lux level is 206.no any service impacted.",1
31855901,LIGHT FUSED,SBD,Electrical,"We checked and found this location cmt this cmt bridge area and found there are all lights are working good condition.  There is near by bridge the security area 4nos cfl lights fused but as discussed with the security team they no need this both lights.  But the bridge area all lights are working good condition.  Lux lebelmismalso maintained 331, 352.","We checked and found this location cmt this cmt bridge area and found there are all lights are working good condition.  There is near by bridge the security area 4nos cfl lights fused but as discussed with the security team they no need this both lights.  But the bridge area all lights are working good condition.  Lux level is also maintained 331, 352.",1
31878222,"CFL Light fused (Nos,03)",SBD,Electrical,Here replaced 3nos 9w840 4pin cfl lights after replacement of lights the lux level 247 now all lights are working good,"In this location checked and found 3nos 9w840 4pin cfl lights fused out of 10nos lights need to replace. Height less than 6meters Pre lux level 219, no service impact",1
31878246,"CFL lights fused (Nos, 02)",SBD,Electrical,Here replaced 2nos 9w840 4pin cfl lights after replacement the lux level 247 lights is working fine  Dm9900181/MR735670,"In this location checked and found 2nos 9w840 4pin cfl lights fused out of 12nos CFL light need to replace, Height less than 6meters and pre lux level 221, no service impact",1
31870576,3CFL light fused,SBD,Electrical,We have replaced here 4nos 9w840 4pin cfl lights. Now here all lights working good condition. Past lux level is 258.we have used the materials #MR 735192,We checked and found this location 4nos 9w840 4pin cfl lights fused need to replace Height less than 6meters Pre lux level is 221.no any service impact.,1
31855949,Light  fused,SBD,Electrical,We have replaced here 5nos 18w765 T8 tubelights with using 2nos S2 4-22w starter.  Now here all lights are working good condition.  Past lux level is 398.,We checked and found this location 5nos 18w765 T8 tubelight fused out of 16nos lights need to replace .height less than 6meters. Pre lux level is 289.no any service impact.,1
31870641,Light fused,SBD,Electrical,We have replaced here 2nos 18w840 4pin cfl lights. Now here all lights are working good condition. Past lux level is 287.we have used the materials #MR735191,"We checked and found this location 2nos 18w840 4pin cfl lights fused. Out of 12nos lights need to replace and 1no 28w865 T5 Tubelight. Hieght less 6meters Pre lux 
level is 231.no any service impact.",1
31870651,3CFL light fused,SBD,Electrical,We have replaced here 4nos 9w840 4pin cfl lights. Now here all lights are working good condition. Past lux level is 239.we have used the materials #MR 735190.,We checked and found this location 4nos 9w840 4pin cfl lights fused out of 24nos lights. Need to replace. Height less than 6meters. Pre lux level is 192. No any service impact.,1
31694690,PM(ALL BATTERY REPLACEMENT),CM,UPS,"FULL BATTERIES INSTALLATION WORK COMPLETED.ECBS AND BATTERIES WORKING NORMAL OPERATIONS. BATTERY DETAILS; SUNLIGHT ACCUFORCE, 12 V / 55 AH,18 NUMBERS. BATTERY CODE JUJ20 BATTERY MFD.20/10/2021","Waiting for batteries from DA
( ALL BATTERIES REPLACEMENT WORK IS IN PROGRESS)",3
31836639,CO4-ESU-005 SUBSTATION 48V DC CHARGER INDICATION LAMP NOT WORKING IN MIMIC DISPLY,SBD,UPS,CHARGER WORKING NORMAL.NO ANY SERVICE IMPACT.CHARGER DISPLAY LIGHT NOT WORKINGDISPLAY PCB FAULTY.WAITING FOR SUPPLIER,"Check and found charger is working normally, communication PCB is faulty, No service impact
BATCHR-CO4-ESU-005-GF-B176-DA9101555",3
31836641,"CO4-ESU-002 SUBSTATION 48V DC CHARGER AC MAINS FAILURE , CHARGING VOLTAGE LOW & CHARGER FAILURE ALRM",SBD,UPS,"Check and found charger A working normal, charger B (OFF) (since 11/08/2018)is not working . No service impact.","Check and found charger A working normal, but charger B is not working . No service impact",3
31823560,"CAT test monitoring  , All runway substations (every Wednesday 12 PM To 1.00 PM)",CM,UPS,DG load test conducted successfully. Monitored all assets before and after the power transfer time. Found all assets are healthy and working normally. Battery backup is available and all batteries are healthy.,Power transfer test conducted.,2
31823563,APE sub stations RMU chargers distilled water refilling.,CM,UPS,"Filled water maximum, cleaned the area properly and fixed  the caps. Now all batteries are good in condition.",Filled water maximum. Matching failure class report not getting .,2
31823564,TB2 - PDLV shutdown ups monitoring multiple locations ( week 16),CM,UPS,"Conducted PDLV shutdown for PPM in different substations. Checked all back up assets before conducting the load test. Monitored all areas and all assets, back up level is healthy and worked properly. There is no interruption and assets are operational.","NR ESU3 and SR ESU1  shutdown conducted, Monitored all assets. Available Failure code is not matching.",2
31823567,PM-2 no battery faulty need to replace,CM,UPS,Found 3 nos batteries faulty during PPM. Created one WO for replacement. Arranged new batteries and replaced. Checked the battery voltages.  Found voltages are normal.  12V/33AH/ JUL 02.,Replaced 3 nos batteries.,2
31823568,PM-1 no battery faulty need to replace,CM,UPS,"Found one battery weak during PPM .reported and created one WO for replacement. Arranged new battery, isolated the battery breaker before starting the activity. Replaced new one and normalised. Asset is operational.",Replaced one battery.12V/40AH.,2
31823569,Wether radar ups dust cleaning,CM,UPS,"Cleaned the asset,AC and cabin properly. Cleared the dust using blower, brush and cloth.  Cleared well and closed the cabin properly.",Dust removed.,2
31823572,WHR RMU charger,CM,UPS,"Prior to start the work, co ordinated to BMS operator and UCC. Checked all parameters, working condition, physical condition, batteries and temperature. Checked all batteries voltages individually and updated. Discharge test conducted successfully. Found all batteries are healthy. Normalized the primary switch after discharge test.System is in normal operation.","Charger is operational, need to refill water.",2
31823931,Check in DEP immigiration area-2 counter 217 light replacement (stretched ceiling),CM,Electrical,"We inspected the location, and we found out that all  stretched ceiling lights are not functioning properly. We have arranged all the materials and covered both counter 217, including counter 216 at check in area 2. Removed all the faulty stretched ceiling lights and installed new ones. Now, all the strectched  lights are working properly, and the current lux measurement reading is 520 and 528.","Upon inspection of the Stretched ceiling lights at check in area 2, counter 217 including counter 216 ( as both are part of a single panel), it was found that none of the Stretched ceiling lights are functioning properly. The height level of the light fittings is less than 6 meters, and the previous measurement lux reading is 52.8 and 50.3. Therefore, the stretched lights need to be replaced.",3
31823934,Check in DEP immigiration area-2 counter 215 light replacement (stretched ceiling),CM,Electrical,"We inspected the location, and we found out that all  stretched ceiling lights are not functioning properly. We have arranged all the materials and covered both counter 215, including counter 214 at check in area 2. Removed all the faulty stretched ceiling lights and installed new ones. Now, all the strectched  lights are working properly, and the current lux measurement reading is 525 and 523.","Upon inspection of the Stretched ceiling lights at check in area 2, counter 215 including counter 214 ( as both are part of a single panel), it was found that none of the Stretched ceiling lights are functioning properly. The height level of the light fittings is less than 6 meters, and the previous measurement lux reading is 60.7 and 57.4. Therefore, the stretched lights need to be replaced.",3
31763206,PM - 1 NOS COOLING FAN FAULTY,CM,UPS,"Cooling fan replacement work completed at ups transformer Cooling fan section one number, now UPS and battery's working normal operations.",Cooling fan replacement work completed,2
31763207,PM - 1 NOS COOLING FAN FAULTY,CM,UPS,"Cooling fan replacement work completed, at transformer Cooling section, now all fans working normal, UPS and battery's working normal operations.",Cooling fan replacement work completed,2
31763208,PM - 1 NOS COOLING FAN FAULTY,CM,UPS,"Cooling fan replacement work completed, now all cooling fan working, UPS and battery's working normal operations",Cooling fan replacement work completed,2
31763210,PM - 2 NOS COOLING FAN FAULTY,CM,UPS,"2 nos cooling fan replacement work completed, now all cooling fan working,UPS and battery's working normal operations.",Cooling fan replacement work completed,2
31763212,PM - 1NOS COOLING FAN FAULTY,CM,UPS,"Cooling fan replacement work completed at ups inverter section 1 nos ,now all Cooling fan working. UPS AND BATTERY'S ARE WORKING NORMAL OPERATIONS",Cooling fan replacement work completed,2
31763223,PM - 1 NOS COOLING FAN FAULTY,CM,UPS,"At UPS rectifier section one number cooling fan replacement work completed, now all cooling fan working , UPS and battery's working normal operations.",Cooling fan replacement work completed,2
31763244,PM - 1 NOS COOLING FAN FAULTY,CM,UPS,"Cooling fan replacement work completed at transformer Cooling section, now all fan working properly, UPS and battery's working normal.",Cooling fan replacement work completed,2
31694685,PM(ALL BATTERY REPLACEMENT),CM,UPS,"TR1-UPS-046 ALL BATTERIES REPLACEMENT WORK COMPLETED. CHECKED ALL BATTERIES PARAMETERS AND TURN ON THE BATTERY BREKER.UPS AND BATTERIES ARE WORKING NORMAL OPERATION. BATTERY DETAILS; SUNLIGHT, SPB,12 V / 55 AH ,30 NUMBERS. BATTERY CODE;FXA22,BATTERY MFD.22/01/2024.","Waiting for battery from DA
ALL BATTERIES REPLACEMENT WORK IS IN PROGRESS.",2
31694694,PM(ALL BATTERY REPLACEMENT),CM,UPS,"ALL BATTERY'S REPLACEMENT WORK HAS BEEN COMPLETED &amp; NEW BCM REPLACEMENT WORK ALSO DONE.  BATTERY DETAILS,  MAKE;SUNLIGHT, MODEL;ACCUFORCE, AH;55AH, CODE;FVC22.",BATTERY REPLACEMENT WORK completed,2
31763047,"ABNORMAL SOUND COMING FROM UPS FAN, NEED TO REPLACE",CM,UPS,"Checked and found one cooling fan is not working, reported and created one WO for replacement. Arranged new cooling fan,tools and PPEs. Co ordinated to BMS operator and FZM manager and started the work with permission. Switched off the UPS and all incoming powers to the UPS. EBP switch positioned to main line as per procedure without any interruption. Removed the faulty fan, cleared the area and replaced one new fan. Normalized the power and checked the fan working. Asset is normal.",Faulty cooling fan replaced with new one.,2
31890608,1 NO. BATTERY FAUTY NEED TO REPLACE,CM,UPS,One number faulty  12 V 55AH battery replacement completed  Now system working normal operation.,One number battery  faulty need to  replace,2
31823975,INS-Arrival Staff Pantry before 1no ceiling light not working,CM,Electrical,"checked and replaced, 1nos led drive, now light working normally, below 6 metre, post lux level-254","checked and found 1no led ceiling light not working, need to replace, below 6 metre, pre lux level-199",1
31823976,INS-Arrival Staff counter Immigiration 1no light not working,CM,Electrical,"checked and replaced, 1 nos Led drive, now light is working, below 6 metre, post lux level-250","checked and found, 1no led light not working, need to replace, below 6 metre",1
31823978,INS-Arrival Near arabian flacon counter 1no of light not working,CM,Electrical,"checked and replaced , 1 no led drive, now light working normally, post lux level-261, below 6 metre","checked and found 1no led of light not working, need to replace",1
31824014,INS-1nos of ceiling not working above FID screen  Near area 2,CM,Electrical,"checked and replaced , 1no Led drive, now light is working normally, post lux level-259, below 6 metre","INS-1nos of ceiling not working above FID screen  Near area 2, need to replace, pre lux level-207",1
31824015,INS-1no light not working near hub room,CM,Electrical,"checked and replaced 1no Led drive, now light is working normally,  post lux level-262, below 6 metre","checked and found, 1no Led light not working near hub room, need to replace, pre lux level-201",1
31824018,INS-2nos of ceiling light not working,CM,Electrical,"checked and replaced, 2nos led drive, now light is working normally. below 6 metre, post lux level-245","We visited the location and found 40w LED DOWN LIGHTs 2 NOS NOT WORKING, need to replace",1
31824020,INS-1nos of ceiling light not working,CM,Electrical,"checked and Replaced 1nos of led light drive, now its working properly, below 6 metre, pre lux level-251","checked and found1nos of led ceiling light not working, need to replace, below 6 metre, pre lux level-198",1
31823596,HAND DRAYER NOT WORKING,SBD,Electrical,"Arrange the new hand dryer. Isolate the power supply before disconnect the supply cable then Removed the existing faulty hand dryer. Then Installation of new hand dryer, re connection of power supply cable. Re-energized the power source. Testing and functional testing hand dryer. Hand dryer is fully operational.  Inform the customer that the hand dryer is now working",Visited and found Power is available but dryer is continuously running found that Sensor of the dryer is faulty so we installed new hand dryer in the same location,2
31861592,biometric machine power cable to be covered,SBD,Electrical,"We fixed it cable by used cable tie and we informed the customer,now cable is already fixed in biometric machine.",We checked and found biometric machine cable management required need to rectify.,1
31848116,Electrical socket no power supply (All ),SBD,Electrical,Checked throughly and reset the circuit breaker(C04-EPP-0711-Y8)now power is normalised for the electrical sockets.,Checked and found circuit breaker was tripped due to Electrical socket not working.,1
31852552,Electrical socket damaged,SBD,Electrical,We arranged the weatherproof socket and fixed it properly.  C04 epp 1410 2g 13A weatherproof switch socket 1nos.,"Checked and found power is available in the wall socket but socket is broken due  to misused by cleaning team .
C04 epp 1410",1
31878062,SOME OF THE LIGHTS ARE FUSED,SBD,Electrical,"We checked and found lights are off a few minute due to ups team they conducted maintenance activity,now all lights is back to normal as pic.attach.a present lux level of 397.5,and we informed the customer.","We checked and found lights are off a few minute due to ups team they conducted maintenance activity,now all lights is back to normal as pic.attach.
PROPER FAILYURE CODE NOT AVAILABLE",1
31853107,MALE AND FEMALE WASHROOM CEILING LIGHTS NOT WORKING,SBD,Electrical,"We founded light not working upon checking ceiling rose was loosen,we tighten both now lights are all working as well.","We checked and found 1no.of light not working each room male and female wash room need to check.
PROPER FAILURE CODE NOT AVAILABLE",1
31878518,Electrical socket damaged,SBD,Electrical,"We replaced 1pc.2gang socket now socket is in good condition power is available, no power supply impacted.",We checked and found socket was broken power is available no power impact.socket need to be replace.,1
31871164,electrical socket cover missing,SBD,Electrical,Check the socket and found that electrical cover is missing and cover is not available in the area and don't have any spare. We decided to replaced with new one electrical socket with complete fitting. Now socket is in good condition and power is available.  Inform also yhe customer,"Check and found electrical wall socket cover missing.
Power is available in socket no service impact 
TR1 EPP 050-B1",1
31883956,Ceiling light not working,SBD,Electrical,"We founded light no power,we give power supply and light is currently working as well,a present lux level of 417.","We checked and found area busy when visit take time to wait area vacancy for female toilet.after got access from the female staff we found led round light not working  inside cubicle need to check.
height:below 6meters
Before:166lux level",1
31768394,HAND DRAYER DEFECTIVE CONTINUOUSLY ON  NEED TO STOP,SBD,Electrical,"Arrange the new hand dryer. Isolate the power supply before disconnect the supply cable then Removed the existing faulty hand dryer. Then Installation of new hand dryer, re connection of power supply cable. Re-energized the power source. Testing and functional testing hand dryer. Hand dryer is fully operational.  Inform the customer that the hand dryer is now working","Visited and found Power is available but dryer is continuously running found that Sensor of the dryer is faulty  so we disconnect the source of power and made off as temporary mitigation , already 6 pcs of dryer were order with in 2 to three days we will get the new one and we will replace this faulty dryer with new one",2
31890702,Hand Dryer Not Working(Sanju),SBD,Electrical,I reset the circuit breaker inside the Electrical panel  and now the handryer is working.,Checked and found that the cause of handryer not working is due to circuit breaker inside the Electrical panel C04-EPP-0805/b11.,1
31852666,APS AC POWER FAILURE,SBD,Electrical,Check the panel and there is no power supply the we go to electrical closet the found EGS -Upp-g12 r1 tripped.  We reset and check the fire alarm panel. And now fire alarm panel power was restored and working agian,Visit the location and found fire alarm panel no power circuit number EGS UPP-GF-R12,1
31887073,Floor box cover damaged and unsafe conditio (waseem),SBD,Electrical,"Checked and replaced 01 new floor sockets box set, now working normal condition","Checked and found that ABCD longue area 01 floor sockets box is damaged need to be replace with new.Dm code not available,FUNCTIONAL LOCATION NOT AVAILABLE",1
31840858,Improper storage of material,SBD,Electrical,"Checked removed the unwanted material in this electrical room, now it's cleaned.",Need to unwanted materials remove from  electrical room-not correct functional available,1
31840867,Improper storage of material,SBD,Electrical,"Checked removed the unwanted material in this electrical room, now it's cleaned.",Need to unwanted materials remove from  electrical room,1
31840847,LIGHTS NOT WORKING,SBD,Electrical,We checked and replaced the 2nos 28w865 tubelights  now working normal condition after lux level 316.,"Checked and found this location 2nos 28w tubelights fused need to replace pre lux level is 78, height is less then 6meter.",1
31878270,NO POWER FOR SOCKETS,SBD,Electrical,We reset from the DB now lights are working normal  condition in informed to customer also,Checked and found lights is tripped due Ek team replaced old tube lights to LED lights  need to be reset.THERE IS NO FUNCTIONAL LOCATION,1
31871268,BURNING SMELL REPORTED,SBD,Electrical,Checked and found BURNING SMELL due to AHU motor faulty we isolated the power for AHU motor,Checked and found BURNING SMELL due to AHU motor faulty.FUNCTIONAL LOCATION NOT AVAILABLE,2
31890784,POWER TRIPPED,SBD,Electrical,We checked and disconnect the faulty water dispenser and reset the RCCB breaker from EPP-22-G23 and the socket is working normal condition,"Checked and found that 2gang switch socket was not working due to faulty water dispenser,FUNCTIONAL LOCATION NOT AVAILABLE",1
31879000,1 TUBE LIGHT NOT WORKING,SBD,Electrical,"Checked and visited the location found that 03 nos old 2x28w tubelights not working above the X- Ray machine in the BHS mezzanine floor. This lights are are non accessible lights already aware DA also.Lux level is maintained above 200.Same informed to the customer, as per them close the work order. Pic attached","Checked and visited the location found that 03 nos old 2x28w tubelights not working above the X- Ray machine in the BHS mezzanine floor. This lights are are non accessible lights already aware DA also.Lux level is maintained above 200.Same informed to the customer, as per them close the work order. Pic attached",1
31894596,SOME OF THE LIGHTS NOT WORKING IN PD-MV OFFICE CORRIDOR (CELING LIGHT),SBD,Electrical,We replace 6nos 26watt 865 4pins CFL lights now lights are working normal condition after rectification lux level is 305,Checked and found 6nos 26w 865 4pin cfl lights are not working due to fused lamps need to be replace rectification before the Lux level is 128 MR number 736292,1
31870646,ELECTRICAL ROOMS DOOR TO BE OPEN,SER,Electrical,As per request we open the electrical rooms and they have some inspection inspection completed we close the door properly,As per request we open the electrical rooms and they have some inspection inspection completed we close the door properly. ( mistake add other wo pictures),1
31828931,Steel rails loose unsafe condition (waseem),SBD,Civil,Checked and loose Steel rails fixing work completed,"Steel rails loose unsafe condition
Not matching function location",2
31776480,Door painting required from outside ( Sharmila),SBD,Civil,Checking and repairing door painting completed length 2 sq mater center 1mater,Door painting required from outside ( Sharmila) not coming function location,2
31776481,Consumables rack painting required ( Sharmila,SBD,Civil,Checking and repairing rack painting completed length 1 sq mater center  1mater,Consumables rack painting required ( Sharmila not coming function location,2
31776685,Wall tile damaged,SBD,Civil,Checked and damage Wall tile corner edge repair work completed,"Wall tile damaged
Not matching function location",3
31776718,Wall re-painting required,SBD,Civil,Checking and repairing wall painting completed length 10 sq mater center 3mater,Wall re-painting required,2
31772626,Consumables rack painting required ( Sharmila),SBD,Civil,Checking and repairing rack painting completed length 1 sq mater center 1mater,Consumables rack painting required ( Sharmila),2
31795201,Hinge broken,SBD,Civil,Checked and damage Hinge broken repair work completed,"Hinge broken 
Not matching function location",2
31797293,Wall edge damage and needs paint,SBD,Civil,Checking and repairing wall painting completed length 2 sq center 1mater,Wall edge damage and needs paint,2
31772611,Consumables rack painting required ( Sharmila),SBD,Civil,Checking and repairing rack painting completed length 2 sq mater center 1mater,Consumables rack painting required ( Sharmila)not coming function location,2
31772654,Washroom vanity counter silicon need to be remove and new silicon required.,SBD,Civil,Checked and vanity counter re-grouting work completed,Washroom vanity counter silicon need to be remove and new silicon required Not matching function location,2
31795302,(2) black Floor tiles damaged need to change,SBD,Civil,Checked and damage floor tile replace work completed,"black Floor tiles damaged need to change
Not matching function location",3
31749021,Wall painting require,SBD,Civil,Checking and repairing wall painting completed length 10 sq mater center 3mater,Wall painting require not coming function location,2
31840852,Inappropriate material storage.,SBD,Civil,Checked and Inappropriate material storage remove work completed,Inappropriate material storage.,3
31782602,DAMAGED WALL NEED TO REPAIR,SBD,Civil,Checking and repairing wall painting completed length 3sq mater center 1mater,DAMAGED WALL NEED TO REPAIR,2
31782648,DAMAGED WALL NEED TO REPAIR,SBD,Civil,Checking and repairing wall painting completed length 2Sq mater center 1mater,DAMAGED WALL NEED TO REPAIR,2
31782670,DAMAGED WALL NEED TO REPAIR,SBD,Civil,Checking and repairing wall painting completed length 3sq  mater center 1mater,DAMAGED WALL NEED TO REPAIR,2
31762781,DOOR HINGE DEFECTIVE / BROKEN,SBD,Civil,Checked and damage door Hinges repair work completed,DOOR HINGE DEFECTIVE / BROKEN,2
31776484,WALL CRACKED,SBD,Civil,Checking and repairing wall cracked  and repairing wall painting completed,WALL CRACKED not coming function location,2
31768983,FLOOR TILE DISLOCATED,SBD,Civil,Checked and FLOOR TILE fixing work completed,FLOOR TILE DISLOCATED,2
31762938,Wall skirting damaged,SBD,Civil,Checked and damage Wall skirting fixing work completed,Wall skirting damaged,2
31763639,SAFETY GUARD POLE DETACHED,SBD,Civil,safety bollard fixed properly,Work done properly,3
31746731,CEILING NEEDS PAINT,SBD,Civil,Checking and repairing ceiling painting completed,CEILING NEEDS PAINT not coming function location,2
31829914,QC-Door is hard to close,CM,Civil,Door alignment has been done.,Door alignment work has been completed . photos has been atatched,2
31792940,CEILING PAINTING (FOH) ON FOOD COURT AREA,CM,Civil,ceiling paint has been done approx 200sqm,ceiling paint has been done approx 200sqm,3
31768650,REMOVAL OF ROOF VEGETATION,CM,Civil,Roof vegetation removed,Vegetation on roof cleared,3
31762731,ROOF GUTTER CLEANING,CM,Civil,Roof gutter work has been completed,Work has been completed,3
31792399,All partition screw holes need to be closed,SBD,Civil,screw hole has been filled with grouting,work done properly,2
31772585,Vanity counter corner grouting required (CIVIL),SBD,Civil,Silicon application has been done properly,silicone application done- no matching location,2
31749118,Front Wall repainting required,SBD,Civil,wall painting has been completed approx. 69 sqm covered,wall painting has been completed approx. 69 sqm covered,3
31768535,PAINTING REQUIRED,SBD,Civil,pAINT WORK HAS BEEN COMPLETED APPROX 42 SQM,pAINT WORK HAS BEEN COMPLETED APPROX 42 SQM,3
31801756,WALL PAINTING REQUEST,SBD,Civil,painting has been done approx 240 sqm completed,wall painting has been done approx 240 sqm completed,3
31801761,WALL PAINTING REQUEST,SBD,Civil,APprox 240 sqm has been completed,Work done properly,3
31802029,WALL NEEDS PAINT,SBD,Civil,Work has been done approx 32 sqm,Work has been done approx 32 sqm,3
31762662,WALL DAMAGES NEED TO BE REPAIRED AND PAINT,CM,Civil,Wall repairing and painting work is done properly 62sqm,Wall repairing and painting work is done properly 62sqm,3
31792402,Wall painting required,SBD,Civil,Wall painting work is done properly 37sqm,Wall painting work is done properly 37sqm,3
31768929,Wall painting required,SBD,Civil,Wall painting work is done properly 52sqm,Wall painting work is done properly 52sqm,3
31763323,Wall painting required,SBD,Civil,Full room Wall painting work is done properly 70sqm,Full room Wall painting work is done properly 70sqm,3
31798376,Wall painting required,SBD,Civil,Wall painting work is done properly 34sqm,Wall painting work is done properly 34sqm,3
31762544,Safety pool painting required (2),SBD,Civil,Safety pool painting work is done properly,Safety pool painting work is done properly,3
31797308,Wall painting required,SBD,Civil,Wall repairing and painting work has been done properly 53sqm,Wall repairing and painting work has been done properly 53sqm,3
31768807,Door painting required,SBD,Civil,Door painting work is done properly,Door painting work is done properly,2
31792419,Lift lobby area wall painting required,SBD,Civil,Wall painting work is done properly 48sqm,Wall painting work is done properly 48sqm,3
31749122,Wall painting required (office lobby area ),SBD,Civil,Wall painting work is done properly 40sqm,Wall painting work is done properly 62sqm,3
31748991,Wall painting required,SBD,Civil,Wall painting work is done properly 55sqm,Wall painting work is done properly 55sqm,3
31750993,Piller painting required (Nos-04),SBD,Civil,Wall pillar repairing and painting work has been done properly 48sq.m,Wall pillar repairing and painting work has been done properly 48sq.m,3
31792674,STRONG PAINT SMELL,SBD,Civil,"Due to the staircase painting, smell has circulated. As advised by the End user in future all the painting work should carried out after 3:30 pm only.","Due to the staircase painting, smell has circulated. As advised by the End user in future all the painting work should carried out after 3:30 pm only.",1
31763016,fire exit door not closing- picture add,SBD,Civil,Door Alignment work has been completed properly,Work alignment rectification has been done .,2
31780572,Window mesh damaged,SBD,Civil,Windowed mesh job will attend  and complete on monday,This work will attend and complete on monday,3
31776943,WOODEN DOOR NOT CLOSING PROPERLY,SBD,Civil,DOOR HINGES HAS BEEN FIXED AND WORK COMPLETED.,Door alignment has been done,2
31906549,"QC(""Need to replace the  staircase light flickering "")",CM,Electrical,1no 18w765 cfl and 1no 1×18 ballast replaced now all lights are working fine  After lux 245,"Checked and found 1no cfl lights not working out of 10nos lights 
Below 6meter, prelux 218",1
31990708,Staircase light fused,SBD,Electrical,We have replaced here 2nos 9w840 4pin cfl lights now here all lights are working good condition. Past lux level is 229.we have used the materials #DM 9900181,We checked and found this location 2nos 9w840 4pin cfl lights fused. Need to replace. Height less than 6meters. Pre lux level is 193.no any service impact.,1
31961211,ELEC. SOCKET NO POWER,SBD,Electrical,We have contacted the wall socket power supply. Now here all wall socket working normally. No any service impact.,"We checked and found this location no any power trip issue. 1nos Wall socket not working out of 5nos Wall socket. Need to check power supply. One nos Wall
 socket power supply disconnect. Need to connect the power supply.",2
31990586,LIGHTS NOT WORKING,SBD,Electrical,We have replace here 2nos 14w/840 T5 tube lights. Now here all lights working fine. Past lux level is 364.we have used the material #DM 9901238,We checked and found this location 2nos 14w840 T5 tube lights fused. Need to replace. Height less than 6mtr .pre lux level is 312.no any service impact.,1
32002520,POWER TRIPPED,SBD,Electrical,Checked the portable ACs and divided to two different circuits to reduce the load and restored power. Now Portable units are working and power is available,"Checked and found power tripped from DB,PP7 due to circuit overloaded with 02 portable and a refrigerator on a single circuit. Need to resolve the issue.",2
31878226,4 NOS. CEILING LIGHTS NEED TO BE REPLACED,CM,Electrical,"Here replaced 2nos 14w840 tubelights are 2nos 18w840 4pin CFL lights now,lighta are working good and lux level 297 materials are used DM99001238 and DM9900216","In this location checked and found 2nos 14w840 tubelights and 2nos 18w840 4pin CFL lights fused out of 24nos tubelights and 6nos cfl lights need to replace, Height less than 6meters and the pre lux level 261, no service impact",2
